,Session,Measured_Mean,Measured_Median,Measured_Std,Reference_Mean,Reference_Median,Reference_Std,Count,Absolute_Diff,Relative_Diff_Percent
0,SL0004_2025-02-26,67.54735632183908,67.62,3.106451522397855,68.29527058945114,67.99420595329525,3.924313873419292,290,0.3742059532952453,0.550349765908414
1,SL0005_2025-02-27,78.65861182519279,76.74,6.84306821565346,77.43015351783087,76.99299951904501,2.9096612455033033,396,0.2529995190450194,0.3286006787960474
2,SL0006_2025-03-02,63.61163434903048,61.800000000000004,6.593798925196914,62.19563031488631,61.99092768207126,3.389377986187003,362,0.19092768207125488,0.307992942209952
3,SL0007_2025-03-03,75.30192219679633,72.0,10.264609278298645,75.39126622802478,74.99946730870579,3.660773392666323,439,2.999467308705789,3.9993181503005384
4,SL0008_2025-03-04,66.22856470588235,65.46,5.651950578404993,66.00490468365884,64.99693281968831,3.8121582781054504,431,0.4630671803116826,0.7124446650372004
5,SL0009_2025-03-06,67.95706896551724,65.72999999999999,11.334575881101681,65.39952887051443,64.98593111820243,5.3225997940117,356,0.7440688817975598,1.1449691787045082
6,SL0010_2025-03-08,73.93035714285713,73.14,9.755012665848989,73.06501574836963,71.99153124284729,4.158006165219908,361,1.1484687571527132,1.5952831358435917
7,SL0010_2025-03-09,73.40693641618498,72.12,8.500320574116289,69.89776856070335,68.99412452892619,4.837885808445013,540,3.1258754710738117,4.5306400978582895
8,SL0011_2025-03-10,62.772582781456954,61.08,7.047059871163006,62.51397299743635,61.99409509074726,3.60182323251455,502,0.91409509074726,1.4744873514311374
9,SL0011_2025-03-11,64.76427385892116,64.02,5.9487978127995635,,,,510,,
10,SL0012_2025-03-12,67.03374701670644,64.74,9.055811639109073,67.83169965954089,64.99526970321205,8.198067944298067,446,0.25526970321205056,0.3927512023223979
11,SL0012_2025-03-13,68.928,66.66,10.052002898136815,71.8857940596956,69.9925993743801,11.917404377803564,448,3.3325993743801092,4.761359635401631
12,SL0013_2025-03-15,71.71772727272727,71.39999999999999,5.743657537688129,73.59277597284509,72.9913918817389,6.096795055043995,420,1.5913918817389145,2.180245972452885
13,SL0014_2025-03-22,66.82082474226804,64.74,9.2726877779746,65.01424397613685,63.99061701350607,5.6946475632403,310,0.7493829864939272,1.1710826078388337
14,SL0015_2025-03-30,70.40307692307692,63.3,16.38291849365338,63.20212500653672,62.996492067951905,2.44078992550885,458,0.3035079320480918,0.481785448816276
15,SL0016_2025-04-01,72.82382445141066,71.64,11.18573458846361,73.68958429477716,72.50213894772995,11.93684594135944,338,0.8621389477299459,1.1891220869380152
16,SL0017_2025-04-06,64.53220447284346,63.96,4.769027268349593,66.14805865959801,65.00813931187156,5.473512160060353,371,1.0481393118715587,1.6123201232436306
17,SL0018_2025-04-09,75.59354066985645,75.66,2.488276087822507,76.35559967737206,75.99938963912412,3.806713498984125,454,0.33938963912412135,0.4465689010604964
18,SL0019_2025-04-10,77.00937354988399,77.1,5.2368882405353,77.6402544490473,76.998855573358,4.604316815069833,464,0.1011444266419943,0.13135835057396722
19,SL0020_2025-04-14,59.63107142857143,58.68,7.354844319767554,58.80483270248469,57.99900816357674,3.697968900060822,383,0.6809918364232601,1.1741439345008
20,SL0020_2025-04-15,58.905692307692306,56.97,7.440120700899686,58.48082373716329,57.02884153344235,4.871560119280449,288,0.05884153344235443,0.10317855292194406
21,SL0021_2025-04-16,59.511287671232886,52.019999999999996,15.647731490854357,51.41961661008959,50.00340641893793,4.48317173194732,415,2.016593581062068,4.032912406340216
