1,2
3,4
5,6
7,8
9,10
11,12
13,14
15,16
17,18
19,20
21,22
23,24
-1,-1
25,26
27,28
29,30
31,32
-1,-1
-1,-1
33,34
35,36
37,38
39,40
41,42
43,44
45,46
47,48
49,50
51,52
53,54
55,56
57,58
59,60
61,62
63,64
-1,-1
-1,-1
65,66
-1,-1
67,68
-1,-1
69,70
71,72
73,74
75,76
77,78
79,80
81,82
83,84
-1,-1
85,86
87,88
89,90
91,92
93,94
95,96
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
97,98
99,100
101,102
103,104
-1,-1
-1,-1
105,106
107,108
109,110
111,112
113,114
-1,-1
115,116
117,118
119,120
121,122
123,124
-1,-1
125,126
-1,-1
127,128
-1,-1
-1,-1
-1,-1
129,130
-1,-1
131,132
133,134
135,136
-1,-1
137,138
139,140
141,142
-1,-1
143,144
-1,-1
145,146
147,148
149,150
151,152
-1,-1
153,154
-1,-1
155,156
-1,-1
-1,-1
157,158
-1,-1
159,160
-1,-1
161,162
163,164
165,166
167,168
-1,-1
169,170
171,172
173,174
175,176
-1,-1
-1,-1
177,178
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
179,180
-1,-1
-1,-1
181,182
-1,-1
183,184
185,186
187,188
-1,-1
-1,-1
189,190
-1,-1
191,192
193,194
-1,-1
-1,-1
-1,-1
195,196
197,198
199,200
201,202
203,204
-1,-1
205,206
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
207,208
-1,-1
-1,-1
209,210
-1,-1
-1,-1
-1,-1
211,212
-1,-1
-1,-1
213,214
215,216
217,218
-1,-1
-1,-1
219,220
221,222
-1,-1
223,224
225,226
227,228
229,230
-1,-1
231,232
233,234
-1,-1
235,236
237,238
239,240
-1,-1
241,242
243,244
245,246
247,248
-1,-1
-1,-1
249,250
251,252
-1,-1
-1,-1
253,254
255,256
257,258
-1,-1
259,260
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
261,262
263,264
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
265,266
267,268
269,270
271,272
-1,-1
-1,-1
273,274
275,276
277,278
-1,-1
279,280
-1,-1
281,282
-1,-1
-1,-1
283,284
-1,-1
285,286
287,288
289,290
-1,-1
291,292
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
293,294
295,296
-1,-1
297,298
299,300
301,302
-1,-1
-1,-1
303,304
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
305,306
-1,-1
307,308
309,310
-1,-1
-1,-1
311,312
313,314
315,316
-1,-1
317,318
-1,-1
319,320
321,322
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
323,324
325,326
-1,-1
-1,-1
327,328
-1,-1
329,330
331,332
333,334
-1,-1
-1,-1
335,336
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
337,338
-1,-1
-1,-1
339,340
341,342
343,344
-1,-1
-1,-1
345,346
347,348
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
349,350
-1,-1
351,352
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
353,354
-1,-1
-1,-1
355,356
-1,-1
-1,-1
-1,-1
357,358
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
359,360
-1,-1
361,362
-1,-1
-1,-1
